city,lat,lng,country,iso2,admin_name,capital,population,population_proper,description,,,,,,,,,,,,,,,,,,,,,,,,,url
Peshawar,34,71.5,Pakistan,PK,Khyber Pakhtunkhwa,admin,1970042,1970042,known for the historical places very old and very beautful city of flowers,,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Peshawar.jpg
Saidu Sharif,34.75,72.3572,Pakistan,PK,Khyber Pakhtunkhwa,minor,1860310,1860310,many tombs in this place,,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/saidu-sharif.jpg
Mardan,34.1958,72.0447,Pakistan,PK,Khyber Pakhtunkhwa,minor,300424,300424,"The district is famous for its agriculture industry, Peerah the famous sooghaat of mardan and for its archaeological sites of Takht-i-Bhai, Jamal Garhi and Sawal Dher.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Mardan.jpg
Mingaora,34.7717,72.36,Pakistan,PK,Khyber Pakhtunkhwa,,279914,279914,Buddhist remains and carvings have been discovered near Mingora in the Jambil River Valley.,,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Mingaora.jpg
Kohat,33.5869,71.4414,Pakistan,PK,Khyber Pakhtunkhwa,minor,170800,170800,"Kohat is known for crops, vegetables and fruits like wheat, barley, onions, guava, pomegranate and persimmons. Guava is the major fruit of Kohat and is famous for its quality and taste. The mouthwatering Chapli Kabab is the favorite cuisine of people living in Kohat as well as the outsiders coming to visit Kohat.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/kohat.jpg
Abbottabad,34.15,73.2167,Pakistan,PK,Khyber Pakhtunkhwa,minor,148587,148587,"It is a popular summer resort, located at the end of Murree-Abbottabad hill tract, noted for its verdant parks, gardens, golf course and pine covered hills. Major Bazars of the area include Sarban chowk, Ghaniadda bazar, and Cantt plaza. Abbottabad is blessed with many natural resources.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Abbottabad.jpg
Nowshera,34.0153,71.9747,Pakistan,PK,Khyber Pakhtunkhwa,minor,118594,118594,The shrine of 16th century's most popular Sufi saint Sayyid Kastir Gul alias Hazrat Kaka Sahib is located in a rugged mountainous area around 12 km south of Nowshera district. It is considered one of the most frequently visited religious heritage sites in Khyber Pakhtunkhwa.,,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Nowshera.jpg
Swabi,34.1167,72.4667,Pakistan,PK,Khyber Pakhtunkhwa,minor,115018,115018,"The people of Swabi are very hospitable,brave and hardworking,many legend belong to District Swabi.It is one the most Hostorical and Archaeological land in the World. ",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Swabi.jpg
Dera Ismail Khan,31.8167,70.9167,Pakistan,PK,Khyber Pakhtunkhwa,minor,109686,109686,Dera Ismail Khan is also famous for a desert delicacy called sohan halwa. The shops of this delicacy are mostly situated in Topawaala bazar. Dates are grown here in abundance and are one of the major exports.,,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Dera Ismail Khan.jpg
Charsadda,34.1453,71.7308,Pakistan,PK,Khyber Pakhtunkhwa,minor,105414,105414,"The city is famous for Shoes making, Khaddar and Agriculture.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Charsadda.jpg
Mansehra,34.3333,73.2,Pakistan,PK,Khyber Pakhtunkhwa,minor,69085,69085,"Mansehra District is dominated by high mountains, varying in elevation from 200 meters in the south to over 4500 meters above sea level in the north. The famous Babusar pass is situated on the north-eastern boundary of the district.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Mansehra.jpg
Bannu,32.9889,70.6056,Pakistan,PK,Khyber Pakhtunkhwa,minor,62191,62191,"Tourist attractions around Bannu are mainly in the regions of Kohat and Dera Ismail Khan which are at a distance of 60 Km and 80 Km.  As Bannu comes under the Frontier Region and comes under the Federally Administered Tribal Area, Where travel permits are required to visit the regions of Bannu.",,,,,,,,,,,,,,,,,,,,,,,,,C:/Users/hp/Desktop/zohaib/semester 8/FYP/location_images/Bannu.jpg
